,Place,Consumed,Name,Contest,Location,Date,Minutes
0,1st,63,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
1,2nd,47.5,Geoffrey Esper,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
2,3rd,41,James Webb,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
3,4th,40,Nick Wehry,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
4,5th,33.5,"Pat ""Deep Dish"" Bertoletti",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
5,6th,29.5,Pablo Martinez,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
6,7th,29,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
7,7th,29,Gideon Oji,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
8,7th,29,"Juan ""more bite"" Rodriguez",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
9,7th,29,"Bartley Weaver, IV",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
10,11th,28,George Chiger,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
11,11th,28,"Adam ""Beard Meats Food"" Moran",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
12,13th,27,"Steve ""The Rabbit"" Hammond",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
13,14th,25.5,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
14,15th,25,"Ronnie ""MegaByte"" Hartman",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
15,16th,20,"Brett ""The Branimal"" Healey",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2022-07-04,10.0
16,1st,40,Miki Sudo,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
17,2nd,26,"Michelle ""Cardboard Shell"" Lesco",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
18,3rd,23.25,"Sarah ""Unstoppable Bab"" Rodriguez",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
19,4th,15,"Larell Marie ""The Real Deal"" Mele",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
20,5th,13.75,Katie Prettyman,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
21,6th,12.25,Sophia Devita,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
22,7th,11,Jocelyn Young,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
23,8th,10.25,Holly Titus,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
24,9th,8.5,Kathryn Tesch,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
25,10th,7.5,Rene Rovtar,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
26,11th,7,Julie Goldberg,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
27,12th,5,Prudence DiBenedetto,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
28,13th,4,Catie Livermore,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2022-07-04,10.0
29,1st,40,"Pat ""Deep Dish"" Bertoletti",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Washington, DC",2022-06-25,10.0
30,2nd,29.5,"Ronnie ""MegaByte"" Hartman",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Washington, DC",2022-06-25,10.0
31,3rd,27,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Washington, DC",2022-06-25,10.0
32,1st,6.5,Rene Rovtar,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Washington, DC",2022-06-25,10.0
33,2nd,5,Prudence DiBenedetto,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Washington, DC",2022-06-25,10.0
34,3rd,2.8,Catie Livermore,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Washington, DC",2022-06-25,10.0
35,1st,41.5,James Webb,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Pleasanton, CA",2022-06-18,10.0
36,2nd,28.75,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Pleasanton, CA",2022-06-18,10.0
37,3rd,28.5,Pablo Martinez,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Pleasanton, CA",2022-06-18,10.0
38,4th,25,"Erik ""The Red"" Denmark",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Pleasanton, CA",2022-06-18,10.0
39,5th,7,Gabriel Lucas,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Pleasanton, CA",2022-06-18,10.0
40,1st,76,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
41,2nd,50,Geoffrey Esper,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
42,3rd,44,Nick Wehry,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
43,4th,43,Darron Breeden,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
44,5th,37.75,Gideon Oji,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
45,6th,32.5,"Gordon ""Hungry"" Hazzard",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
46,7th,32,George Chiger,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
47,8th,30.75,"Adrian ""The Rabbit"" Morgan",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
48,9th,30,"Juan ""more bite"" Rodriguez",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
49,10th,28,"Erik ""The Red"" Denmark",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
50,11th,27,"Brian ""Dud Light"" Dudzinski",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
51,11th,27,"Steve ""The Rabbit"" Hammond",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
52,11th,27,"Ronnie ""MegaByte"" Hartman",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
53,11th,27,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
54,15th,25.5,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
55,16th,21.5,Pablo Martinez,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
56,17th,17,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2021-07-04,10.0
57,1st,30.75,"Michelle ""Cardboard Shell"" Lesco",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
58,2nd,24,"Sarah ""Unstoppable Bab"" Rodriguez",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
59,3rd,18.25,"Larell Marie ""The Real Deal"" Mele",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
60,4th,16,Katie Prettyman,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
61,5th,15,Sophia Devita,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
62,6th,12.75,Holly Titus,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
63,7th,11,Jocelyn Young,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
64,8th,9.5,Kelly Wong,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
65,9th,8,Julie Goldberg,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
66,10th,7.75,Kathryn Tesch,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
67,11th,7.5,Rene Rovtar,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
68,12th,7,Kristina Rovtar,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
69,13th,5,Prudence DiBenedetto,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2021-07-04,10.0
70,1st,75,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2020-07-04,10.0
71,2nd,42,Darron Breeden,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2020-07-04,10.0
72,3rd,39.5,Nick Wehry,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2020-07-04,10.0
73,4th,24,George Chiger,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2020-07-04,10.0
74,5th,20,"Eric ""Badlands"" Booker",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2020-07-04,10.0
75,1st,48.5,Miki Sudo,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2020-07-04,10.0
76,2nd,18,"Larell Marie ""The Real Deal"" Mele",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2020-07-04,10.0
77,3rd,15,Katie Prettyman,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2020-07-04,10.0
78,4th,8.5,Julie Goldberg,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2020-07-04,10.0
79,5th,7,Rene Rovtar,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2020-07-04,10.0
80,1st,32.5,"Brett ""The Branimal"" Healey",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Des Moines, IA",2019-08-10,10.0
81,2nd,28,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Des Moines, IA",2019-08-10,10.0
82,1st,12.5,Sophia Devita,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Des Moines, IA",2019-08-10,10.0
83,2nd,7.5,Rene Rovtar,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Des Moines, IA",2019-08-10,10.0
84,1st,32,"Steve ""The Rabbit"" Hammond",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Salt Lake City, UT",2019-07-23,10.0
85,2nd,29,"Darrien ""Cheesecurd"" Thomas",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Salt Lake City, UT",2019-07-23,10.0
86,3rd,23.75,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Salt Lake City, UT",2019-07-23,10.0
87,1st,14,Katie Prettyman,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Salt Lake City, UT",2019-07-23,10.0
88,1st,71,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
89,2nd,50,Darron Breeden,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
90,3rd,47,Geoffrey Esper,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
91,4th,46,"Matt ""Megatoad"" Stonie",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
92,5th,39,Max Suzuki,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
93,6th,36,Nick Wehry,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
94,7th,34,"Gordon ""Hungry"" Hazzard",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
95,7th,34,Gideon Oji,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
96,9th,29,"Juan ""Hungry Saiyan"" Neave",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
97,10th,28.5,"Ronnie ""MegaByte"" Hartman",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
98,10th,28.5,"Adam ""Beard Meats Food"" Moran",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
99,12th,27,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
100,12th,27,Pablo Martinez,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
101,14th,26,George Chiger,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
102,14th,26,"Adrian ""The Rabbit"" Morgan",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
103,14th,26,"Juan ""more bite"" Rodriguez",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
104,16th,22.5,Steve Hendry,Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
105,16th,22,"Darrien ""Cheesecurd"" Thomas",Nathan's Famous Hot Dog Eating Contest - men,"Brooklyn, NY",2019-07-04,10.0
106,1st,31,Miki Sudo,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
107,2nd,26.5,"Michelle ""Cardboard Shell"" Lesco",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
108,3rd,23,"""The Lovely"" Juliet Lee",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
109,3rd,23,"Sarah ""Unstoppable Bab"" Rodriguez",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
110,5th,18,"Larell Marie ""The Real Deal"" Mele",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
111,6th,14,Sophia Devita,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
112,7th,12.5,Katie Prettyman,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
113,8th,11,Holly Titus,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
114,9th,10.5,Kathryn Tesch,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
115,9th,10.5,Kelly Wong,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
116,11th,9,Jocelyn Young,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
117,12th,8,"Mary ""I Love 'em HOT!"" Bowers",Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
118,13th,7,Julie Goldberg,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
119,14th,7,Rene Rovtar,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
120,15th,6,Kat Wong,Nathan's Famous Hot Dog Eating Contest - women,"Brooklyn, NY",2019-07-04,10.0
121,1st,25,Steve Hendry,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Santa Cruz, CA",2019-06-26,10.0
122,2nd,15.5,Sergio Reyes-Raya,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Santa Cruz, CA",2019-06-26,10.0
123,3rd,13,Kirk Taylor,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Santa Cruz, CA",2019-06-26,10.0
124,4th,12,Scott Rubin,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Santa Cruz, CA",2019-06-26,10.0
125,5th,11,Jon Davis,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Santa Cruz, CA",2019-06-26,10.0
126,1st,25,Gideon Oji,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Washington, DC",2019-06-22,10.0
127,1st,23,"""The Lovely"" Juliet Lee",Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Washington, DC",2019-06-22,10.0
128,1st,32,"Adam ""Beard Meats Food"" Moran",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Queens, NY",2019-06-16,10.0
129,2nd,28,"Eric ""Badlands"" Booker",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Queens, NY",2019-06-16,10.0
130,3rd,23,"Brian ""Dud Light"" Dudzinski",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Queens, NY",2019-06-16,10.0
131,4th,14,"Michael ""Big Hoss"" Deitz",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Queens, NY",2019-06-16,10.0
132,5th,13,"""Beautiful"" Brian Seiken",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Queens, NY",2019-06-16,10.0
133,1st,9.5,Julie Goldberg,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Queens, NY",2019-06-16,10.0
134,2nd,6,Prudence DiBenedetto,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Queens, NY",2019-06-16,10.0
135,3rd,0.5,Brynn Szeles,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Queens, NY",2019-06-16,10.0
136,1st,47,Darron Breeden,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Norfolk, VA",2019-06-09,10.0
137,1st,8,Doris Garcia,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Norfolk, VA",2019-06-09,10.0
138,1st,19.25,"Darrien ""Cheesecurd"" Thomas",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
139,2nd,17,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
140,3rd,14.5,Mike Landrich,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
141,4th,14,Steve Radzwilla,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
142,5th,12,"William ""Wild Bill"" Myers",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
143,6th,9,Joe Harris,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
144,7th,7.5,Ryan Laneve,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
145,8th,7,"Roger Green, Jr.",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
146,8th,7,Dennis Truax,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
147,10th,5.5,Donald Sadekas,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Syracuse, NY",2019-06-08,10.0
148,1st,6,Kat Wong,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Syracuse, NY",2019-06-08,10.0
149,2nd,3,Prudence DiBenedetto,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Syracuse, NY",2019-06-08,10.0
150,3rd,3,Morgan Thomas,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Syracuse, NY",2019-06-08,10.0
151,1st,31.5,George Chiger,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
152,2nd,19.5,"""Big Eater Mike"" Michael Whities",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
153,3rd,14.25,"Michael ""Big Hoss"" Deitz",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
154,4th,13.5,Benjamin Burman,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
155,5th,12.5,"William ""Wild Bill"" Myers",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
156,6th,11.5,Felix Wedge,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
157,7th,9.5,Tyler Whitney,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
158,8th,5,Joseph Sanchez,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Lancaster, PA",2019-06-02,10.0
159,1st,30,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"St. Louis, MO",2019-06-01,10.0
160,2nd,28,"Brett ""The Branimal"" Healey",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"St. Louis, MO",2019-06-01,10.0
161,3rd,23.5,"Darrien ""Cheesecurd"" Thomas",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"St. Louis, MO",2019-06-01,10.0
162,4th,23,"Bartley Weaver, IV",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"St. Louis, MO",2019-06-01,10.0
163,1st,13,Holly Titus,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"St. Louis, MO",2019-06-01,10.0
164,1st,29.5,"Ronnie ""MegaByte"" Hartman",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Cincinnati, OH",2019-05-17,10.0
165,2nd,29,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Cincinnati, OH",2019-05-17,10.0
166,1st,14,Sophia Devita,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Cincinnati, OH",2019-05-17,10.0
167,1st,14,Katie Prettyman,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Cincinnati, OH",2019-05-17,10.0
168,1st,26,"Adrian ""The Rabbit"" Morgan",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Valdosta, GA",2019-05-11,10.0
169,1st,26,"Juan ""more bite"" Rodriguez",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Denver, CO",2019-05-11,10.0
170,3rd,17,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Denver, CO",2019-05-11,10.0
171,1st,20,"Sarah ""Unstoppable Bab"" Rodriguez",Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Denver, CO",2019-05-11,10.0
172,1st,10,Jocelyn Young,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Valdosta, GA",2019-05-11,10.0
173,1st,47,Geoffrey Esper,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Central Islip, NY",2019-05-09,10.0
174,2nd,29,George Chiger,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Central Islip, NY",2019-05-09,10.0
175,3rd,22.5,"Eric ""Badlands"" Booker",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Central Islip, NY",2019-05-09,10.0
176,4th,19,Roderick Buenviaje,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Central Islip, NY",2019-05-09,10.0
177,1st,18,"Larell Marie ""The Real Deal"" Mele",Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Central Islip, NY",2019-05-09,10.0
178,2nd,7,Julie Goldberg,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Central Islip, NY",2019-05-09,10.0
179,3rd,4,Prudence DiBenedetto,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Central Islip, NY",2019-05-09,10.0
180,1st,41,Max Suzuki,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
181,2nd,25,"Rich ""The Locust"" LeFevre",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
182,3rd,21,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
183,4th,16.5,"Doug ""Cerebrus"" Ecks",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
184,5th,15,Ron Koch,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
185,6th,8.5,Ryan Dubinsky,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
186,7th,8,Dave Ruffalo,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
187,8th,7,Luca Spanio,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Las Vegas, NV",2019-04-27,10.0
188,1st,28,"Michelle ""Cardboard Shell"" Lesco",Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Las Vegas, NV",2019-04-27,10.0
189,2nd,3,Jessica Darwin,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Las Vegas, NV",2019-04-27,10.0
190,1st,27.25,Pablo Martinez,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Miami, FL",2019-04-20,10.0
191,2nd,26,"Brett ""The Branimal"" Healey",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Miami, FL",2019-04-20,10.0
192,3rd,8,Brian Roselar,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Miami, FL",2019-04-20,10.0
193,4th,7.75,Mike Anderson,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Miami, FL",2019-04-20,10.0
194,5th,7,Jason Ruppert,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Miami, FL",2019-04-20,10.0
195,6th,5,Richard Rusak,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Miami, FL",2019-04-20,10.0
196,1st,11.5,Kelly Wong,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Miami, FL",2019-04-20,10.0
197,2nd,10.5,Doris Garcia,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Miami, FL",2019-04-20,10.0
198,3rd,8.5,Tracie Dickerson,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Miami, FL",2019-04-20,10.0
199,4th,4,Brittany Broder,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Miami, FL",2019-04-20,10.0
200,1st,34,Nick Wehry,Nathan's Famous Hot Dog Eating Contest Qualifier - men,"Cape Coral, FL",2019-04-13,10.0
201,1st,10.25,"Mary ""I Love 'em HOT!"" Bowers",Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Cape Coral, FL",2019-04-13,10.0
202,2nd,7.75,Doris Garcia,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Cape Coral, FL",2019-04-13,10.0
203,3rd,7,Tracie Dickerson,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"Cape Coral, FL",2019-04-13,10.0
204,1st,27,"Juan ""Hungry Saiyan"" Neave",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"San Antonio, TX",2019-02-23,10.0
205,2nd,16.5,"""Nasty"" Nathan Biller",Nathan's Famous Hot Dog Eating Contest Qualifier - men,"San Antonio, TX",2019-02-23,10.0
206,1st,9.5,Kathryn Tesch,Nathan's Famous Hot Dog Eating Contest Qualifier - women,"San Antonio, TX",2019-02-23,10.0
